"Nível","Cód.","Unidade da Federação","População Residente - 2019"
"MU","1506161","Rio Maria (PA)","18193"
"MU","1506187","Rondon do Pará (PA)","52357"
"MU","1506195","Rurópolis (PA)","50510"
"MU","1506203","Salinópolis (PA)","40675"
"MU","1506302","Salvaterra (PA)","23752"
"MU","1506351","Santa Bárbara do Pará (PA)","21079"
"MU","1506401","Santa Cruz do Arari (PA)","10128"
"MU","1506500","Santa Izabel do Pará (PA)","70801"
"MU","1506559","Santa Luzia do Pará (PA)","19848"
"MU","1506583","Santa Maria das Barreiras (PA)","21449"
"MU","1506609","Santa Maria do Pará (PA)","24861"
"MU","1506708","Santana do Araguaia (PA)","72817"
"MU","1506807","Santarém (PA)","304589"
"MU","1506906","Santarém Novo (PA)","6709"
"MU","1507003","Santo Antônio do Tauá (PA)","31482"
"MU","1507102","São Caetano de Odivelas (PA)","18050"
"MU","1507151","São Domingos do Araguaia (PA)","25557"
"MU","1507201","São Domingos do Capim (PA)","31989"
"MU","1507300","São Félix do Xingu (PA)","128481"
"MU","1507409","São Francisco do Pará (PA)","15882"
"MU","1507458","São Geraldo do Araguaia (PA)","24847"
"MU","1507466","São João da Ponta (PA)","6139"
"MU","1507474","São João de Pirabas (PA)","23045"
"MU","1507508","São João do Araguaia (PA)","13996"
"MU","1507607","São Miguel do Guamá (PA)","58986"
"MU","1507706","São Sebastião da Boa Vista (PA)","26640"
"MU","1507755","Sapucaia (PA)","5930"
"MU","1507805","Senador José Porfírio (PA)","11658"
"MU","1507904","Soure (PA)","25374"
"MU","1507953","Tailândia (PA)","106339"
"MU","1507961","Terra Alta (PA)","11720"
"MU","1507979","Terra Santa (PA)","18769"
"MU","1508001","Tomé-Açu (PA)","63447"
"MU","1508035","Tracuateua (PA)","30959"
"MU","1508050","Trairão (PA)","18989"
"MU","1508084","Tucumã (PA)","39602"
"MU","1508100","Tucuruí (PA)","113659"
"MU","1508126","Ulianópolis (PA)","59210"
"MU","1508159","Uruará (PA)","45476"
"MU","1508209","Vigia (PA)","53686"
"MU","1508308","Viseu (PA)","61403"
"MU","1508357","Vitória do Xingu (PA)","15134"
"MU","1508407","Xinguara (PA)","44751"
"MU","1600055","Serra do Navio (AP)","5397"
"MU","1600105","Amapá (AP)","9109"
"MU","1600154","Pedra Branca do Amapari (AP)","16502"
"MU","1600204","Calçoene (AP)","11117"
"MU","1600212","Cutias (AP)","5983"
"MU","1600238","Ferreira Gomes (AP)","7780"
"MU","1600253","Itaubal (AP)","5503"
"MU","1600279","Laranjal do Jari (AP)","50410"
"MU","1600303","Macapá (AP)","503327"
"MU","1600402","Mazagão (AP)","21632"
"MU","1600501","Oiapoque (AP)","27270"
"MU","1600535","Porto Grande (AP)","21971"
"MU","1600550","Pracuúba (AP)","5120"
"MU","1600600","Santana (AP)","121364"
"MU","1600709","Tartarugalzinho (AP)","17315"
"MU","1600808","Vitória do Jari (AP)","15931"
"MU","1700251","Abreulândia (TO)","2579"
"MU","1700301","Aguiarnópolis (TO)","6733"
"MU","1700350","Aliança do Tocantins (TO)","5390"
"MU","1700400","Almas (TO)","7055"
"MU","1700707","Alvorada (TO)","8412"
"MU","1701002","Ananás (TO)","9549"
"MU","1701051","Angico (TO)","3433"
"MU","1701101","Aparecida do Rio Negro (TO)","4795"
"MU","1701309","Aragominas (TO)","5758"
"MU","1701903","Araguacema (TO)","7086"
"MU","1702000","Araguaçu (TO)","8517"
"MU","1702109","Araguaína (TO)","180470"
"MU","1702158","Araguanã (TO)","5729"
"MU","1702208","Araguatins (TO)","35761"
"MU","1702307","Arapoema (TO)","6643"
"MU","1702406","Arraias (TO)","10567"
"MU","1702554","Augustinópolis (TO)","18412"
"MU","1702703","Aurora do Tocantins (TO)","3757"
"MU","1702901","Axixá do Tocantins (TO)","9756"
"MU","1703008","Babaçulândia (TO)","10664"
"MU","1703057","Bandeirantes do Tocantins (TO)","3553"
"MU","1703073","Barra do Ouro (TO)","4591"
"MU","1703107","Barrolândia (TO)","5632"
"MU","1703206","Bernardo Sayão (TO)","4459"
"MU","1703305","Bom Jesus do Tocantins (TO)","4894"
"MU","1703602","Brasilândia do Tocantins (TO)","2201"
"MU","1703701","Brejinho de Nazaré (TO)","5497"
"MU","1703800","Buriti do Tocantins (TO)","11348"
"MU","1703826","Cachoeirinha (TO)","2275"
"MU","1703842","Campos Lindos (TO)","10116"
"MU","1703867","Cariri do Tocantins (TO)","4382"
"MU","1703883","Carmolândia (TO)","2580"
"MU","1703891","Carrasco Bonito (TO)","4095"
"MU","1703909","Caseara (TO)","5369"
"MU","1704105","Centenário (TO)","2905"
"MU","1704600","Chapada de Areia (TO)","1406"
"MU","1705102","Chapada da Natividade (TO)","3333"
"MU","1705508","Colinas do Tocantins (TO)","35424"
"MU","1705557","Combinado (TO)","4852"
"MU","1705607","Conceição do Tocantins (TO)","4105"
"MU","1706001","Couto Magalhães (TO)","5588"
"MU","1706100","Cristalândia (TO)","7289"
"MU","1706258","Crixás do Tocantins (TO)","1722"
"MU","1706506","Darcinópolis (TO)","6097"
"MU","1707009","Dianópolis (TO)","22139"
"MU","1707108","Divinópolis do Tocantins (TO)","6900"
"MU","1707207","Dois Irmãos do Tocantins (TO)","7198"
"MU","1707306","Dueré (TO)","4686"
"MU","1707405","Esperantina (TO)","10996"
"MU","1707553","Fátima (TO)","3835"
"MU","1707652","Figueirópolis (TO)","5263"
"MU","1707702","Filadélfia (TO)","8856"
"MU","1708205","Formoso do Araguaia (TO)","18440"
"MU","1708254","Fortaleza do Tabocão (TO)","2589"
"MU","1708304","Goianorte (TO)","5123"
"MU","1709005","Goiatins (TO)","13019"
"MU","1709302","Guaraí (TO)","25923"
"MU","1709500","Gurupi (TO)","86647"
"MU","1709807","Ipueiras (TO)","2015"
"MU","1710508","Itacajá (TO)","7433"
"MU","1710706","Itaguatins (TO)","5864"
"MU","1710904","Itapiratins (TO)","3777"
"MU","1711100","Itaporã do Tocantins (TO)","2427"
"MU","1711506","Jaú do Tocantins (TO)","3849"
"MU","1711803","Juarina (TO)","2193"
"MU","1711902","Lagoa da Confusão (TO)","13357"
"MU","1711951","Lagoa do Tocantins (TO)","4316"
"MU","1712009","Lajeado (TO)","3134"
"MU","1712157","Lavandeira (TO)","1923"
"MU","1712405","Lizarda (TO)","3740"
"MU","1712454","Luzinópolis (TO)","3108"
"MU","1712504","Marianópolis do Tocantins (TO)","5175"
"MU","1712702","Mateiros (TO)","2684"
"MU","1712801","Maurilândia do Tocantins (TO)","3426"
"MU","1713205","Miracema do Tocantins (TO)","18248"
"MU","1713304","Miranorte (TO)","13434"
"MU","1713601","Monte do Carmo (TO)","7947"
"MU","1713700","Monte Santo do Tocantins (TO)","2279"
"MU","1713809","Palmeiras do Tocantins (TO)","6658"
"MU","1713957","Muricilândia (TO)","3551"
"MU","1714203","Natividade (TO)","9244"
"MU","1714302","Nazaré (TO)","3898"
"MU","1714880","Nova Olinda (TO)","11819"
"MU","1715002","Nova Rosalândia (TO)","4260"
"MU","1715101","Novo Acordo (TO)","4342"
"MU","1715150","Novo Alegre (TO)","2332"
"MU","1715259","Novo Jardim (TO)","2722"
"MU","1715507","Oliveira de Fátima (TO)","1112"
"MU","1715705","Palmeirante (TO)","6026"
"MU","1715754","Palmeirópolis (TO)","7659"
"MU","1716109","Paraíso do Tocantins (TO)","51252"
"MU","1716208","Paranã (TO)","10449"
"MU","1716307","Pau D'Arco (TO)","4849"
"MU","1716505","Pedro Afonso (TO)","13578"
"MU","1716604","Peixe (TO)","11749"
"MU","1716653","Pequizeiro (TO)","5477"
"MU","1716703","Colméia (TO)","8205"
"MU","1717008","Pindorama do Tocantins (TO)","4447"
"MU","1717206","Piraquê (TO)","3028"
"MU","1717503","Pium (TO)","7654"
"MU","1717800","Ponte Alta do Bom Jesus (TO)","4596"
"MU","1717909","Ponte Alta do Tocantins (TO)","8039"
"MU","1718006","Porto Alegre do Tocantins (TO)","3139"
"MU","1718204","Porto Nacional (TO)","53010"
"MU","1718303","Praia Norte (TO)","8432"
"MU","1718402","Presidente Kennedy (TO)","3684"
"MU","1718451","Pugmil (TO)","2688"
"MU","1718501","Recursolândia (TO)","4293"
"MU","1718550","Riachinho (TO)","4645"
"MU","1718659","Rio da Conceição (TO)","2130"
"MU","1718709","Rio dos Bois (TO)","2834"
"MU","1718758","Rio Sono (TO)","6478"
"MU","1718808","Sampaio (TO)","4711"
"MU","1718840","Sandolândia (TO)","3375"
"MU","1718865","Santa Fé do Araguaia (TO)","7512"
"MU","1718881","Santa Maria do Tocantins (TO)","3434"
"MU","1718899","Santa Rita do Tocantins (TO)","2365"
"MU","1718907","Santa Rosa do Tocantins (TO)","4829"
"MU","1719004","Santa Tereza do Tocantins (TO)","2866"
"MU","1720002","Santa Terezinha do Tocantins (TO)","2529"
"MU","1720101","São Bento do Tocantins (TO)","5324"
"MU","1720150","São Félix do Tocantins (TO)","1585"
"MU","1720200","São Miguel do Tocantins (TO)","12139"
"MU","1720259","São Salvador do Tocantins (TO)","3082"
"MU","1720309","São Sebastião do Tocantins (TO)","4805"
"MU","1720499","São Valério (TO)","3960"
"MU","1720655","Silvanópolis (TO)","5403"
"MU","1720804","Sítio Novo do Tocantins (TO)","9029"
"MU","1720853","Sucupira (TO)","1966"
"MU","1720903","Taguatinga (TO)","16683"
"MU","1720937","Taipas do Tocantins (TO)","2148"
"MU","1720978","Talismã (TO)","2793"
"MU","1721000","Palmas (TO)","299127"
"MU","1721109","Tocantínia (TO)","7545"
"MU","1721208","Tocantinópolis (TO)","22870"
"MU","1721257","Tupirama (TO)","1891"
"MU","1721307","Tupiratins (TO)","2671"
"MU","1722081","Wanderlândia (TO)","11683"
"MU","1722107","Xambioá (TO)","11540"
"MU","2100055","Açailândia (MA)","112445"
"MU","2100105","Afonso Cunha (MA)","6524"
"MU","2100154","Água Doce do Maranhão (MA)","12571"
"MU","2100204","Alcântara (MA)","22097"
"MU","2100303","Aldeias Altas (MA)","26532"
"MU","2100402","Altamira do Maranhão (MA)","8128"
"MU","2100436","Alto Alegre do Maranhão (MA)","27053"
"MU","2100477","Alto Alegre do Pindaré (MA)","31919"
"MU","2100501","Alto Parnaíba (MA)","11190"
"MU","2100550","Amapá do Maranhão (MA)","6962"
"MU","2100600","Amarante do Maranhão (MA)","41435"
"MU","2100709","Anajatuba (MA)","26803"
"MU","2100808","Anapurus (MA)","15732"
"MU","2100832","Apicum-Açu (MA)","17239"
"MU","2100873","Araguanã (MA)","15426"
"MU","2100907","Araioses (MA)","46440"
"MU","2100956","Arame (MA)","32701"
"MU","2101004","Arari (MA)","29848"
"MU","2101103","Axixá (MA)","12130"
"MU","2101202","Bacabal (MA)","104949"
"MU","2101251","Bacabeira (MA)","17055"
"MU","2101301","Bacuri (MA)","18582"
"MU","2101350","Bacurituba (MA)","5644"
"MU","2101400","Balsas (MA)","94887"
"MU","2101509","Barão de Grajaú (MA)","18820"
"MU","2101608","Barra do Corda (MA)","88212"
"MU","2101707","Barreirinhas (MA)","62528"
"MU","2101731","Belágua (MA)","7469"
"MU","2101772","Bela Vista do Maranhão (MA)","11209"
"MU","2101806","Benedito Leite (MA)","5632"
"MU","2101905","Bequimão (MA)","21280"
"MU","2101939","Bernardo do Mearim (MA)","6043"
"MU","2101970","Boa Vista do Gurupi (MA)","9287"
"MU","2102002","Bom Jardim (MA)","41630"
"MU","2102036","Bom Jesus das Selvas (MA)","34028"
"MU","2102077","Bom Lugar (MA)","16294"
"MU","2102101","Brejo (MA)","36397"
"MU","2102150","Brejo de Areia (MA)","9188"
"MU","2102200","Buriti (MA)","28678"
"MU","2102309","Buriti Bravo (MA)","23884"
"MU","2102325","Buriticupu (MA)","72358"
"MU","2102358","Buritirana (MA)","15430"
"MU","2102374","Cachoeira Grande (MA)","9431"
"MU","2102408","Cajapió (MA)","11177"
"MU","2102507","Cajari (MA)","19379"
"MU","2102556","Campestre do Maranhão (MA)","14374"
"MU","2102606","Cândido Mendes (MA)","20178"
"MU","2102705","Cantanhede (MA)","21995"
"MU","2102754","Capinzal do Norte (MA)","10934"
"MU","2102804","Carolina (MA)","24322"
"MU","2102903","Carutapera (MA)","23807"
"MU","2103000","Caxias (MA)","164880"
"MU","2103109","Cedral (MA)","10675"
"MU","2103125","Central do Maranhão (MA)","8673"
"MU","2103158","Centro do Guilherme (MA)","13458"
"MU","2103174","Centro Novo do Maranhão (MA)","21622"
"MU","2103208","Chapadinha (MA)","79675"
"MU","2103257","Cidelândia (MA)","14697"
"MU","2103307","Codó (MA)","122859"
"MU","2103406","Coelho Neto (MA)","49435"
"MU","2103505","Colinas (MA)","41178"
"MU","2103554","Conceição do Lago-Açu (MA)","16237"
"MU","2103604","Coroatá (MA)","65296"
"MU","2103703","Cururupu (MA)","32695"
"MU","2103752","Davinópolis (MA)","12908"
"MU","2103802","Dom Pedro (MA)","23350"
"MU","2103901","Duque Bacelar (MA)","11349"
"MU","2104008","Esperantinópolis (MA)","17241"
"MU","2104057","Estreito (MA)","41946"
"MU","2104073","Feira Nova do Maranhão (MA)","8504"
