"Nível","Cód.","Unidade da Federação","População Residente - 2019"
"MU","3139706","Maravilhas (MG)","7976"
"MU","3139805","Mar de Espanha (MG)","12814"
"MU","3139904","Maria da Fé (MG)","14095"
"MU","3140001","Mariana (MG)","60724"
"MU","3140100","Marilac (MG)","4115"
"MU","3140159","Mário Campos (MG)","15416"
"MU","3140209","Maripá de Minas (MG)","2973"
"MU","3140308","Marliéria (MG)","4039"
"MU","3140407","Marmelópolis (MG)","2755"
"MU","3140506","Martinho Campos (MG)","13388"
"MU","3140530","Martins Soares (MG)","8417"
"MU","3140555","Mata Verde (MG)","8586"
"MU","3140605","Materlândia (MG)","4459"
"MU","3140704","Mateus Leme (MG)","31086"
"MU","3140803","Matias Barbosa (MG)","14468"
"MU","3140852","Matias Cardoso (MG)","11157"
"MU","3140902","Matipó (MG)","18908"
"MU","3141009","Mato Verde (MG)","12459"
"MU","3141108","Matozinhos (MG)","37820"
"MU","3141207","Matutina (MG)","3749"
"MU","3141306","Medeiros (MG)","3802"
"MU","3141405","Medina (MG)","20820"
"MU","3141504","Mendes Pimentel (MG)","6446"
"MU","3141603","Mercês (MG)","10739"
"MU","3141702","Mesquita (MG)","5605"
"MU","3141801","Minas Novas (MG)","31484"
"MU","3141900","Minduri (MG)","3894"
"MU","3142007","Mirabela (MG)","13589"
"MU","3142106","Miradouro (MG)","10754"
"MU","3142205","Miraí (MG)","15014"
"MU","3142254","Miravânia (MG)","4888"
"MU","3142304","Moeda (MG)","4919"
"MU","3142403","Moema (MG)","7517"
"MU","3142502","Monjolos (MG)","2220"
"MU","3142601","Monsenhor Paulo (MG)","8688"
"MU","3142700","Montalvânia (MG)","14877"
"MU","3142809","Monte Alegre de Minas (MG)","21120"
"MU","3142908","Monte Azul (MG)","20854"
"MU","3143005","Monte Belo (MG)","13166"
"MU","3143104","Monte Carmelo (MG)","47809"
"MU","3143153","Monte Formoso (MG)","4906"
"MU","3143203","Monte Santo de Minas (MG)","21524"
"MU","3143302","Montes Claros (MG)","409341"
"MU","3143401","Monte Sião (MG)","23803"
"MU","3143450","Montezuma (MG)","8249"
"MU","3143500","Morada Nova de Minas (MG)","8863"
"MU","3143609","Morro da Garça (MG)","2462"
"MU","3143708","Morro do Pilar (MG)","3182"
"MU","3143807","Munhoz (MG)","6029"
"MU","3143906","Muriaé (MG)","108763"
"MU","3144003","Mutum (MG)","26979"
"MU","3144102","Muzambinho (MG)","20569"
"MU","3144201","Nacip Raydan (MG)","3220"
"MU","3144300","Nanuque (MG)","40750"
"MU","3144359","Naque (MG)","6996"
"MU","3144375","Natalândia (MG)","3311"
"MU","3144409","Natércia (MG)","4730"
"MU","3144508","Nazareno (MG)","8608"
"MU","3144607","Nepomuceno (MG)","26769"
"MU","3144656","Ninheira (MG)","10295"
"MU","3144672","Nova Belém (MG)","3190"
"MU","3144706","Nova Era (MG)","17578"
"MU","3144805","Nova Lima (MG)","94889"
"MU","3144904","Nova Módica (MG)","3600"
"MU","3145000","Nova Ponte (MG)","15545"
"MU","3145059","Nova Porteirinha (MG)","7500"
"MU","3145109","Nova Resende (MG)","16723"
"MU","3145208","Nova Serrana (MG)","102693"
"MU","3145307","Novo Cruzeiro (MG)","31331"
"MU","3145356","Novo Oriente de Minas (MG)","10755"
"MU","3145372","Novorizonte (MG)","5299"
"MU","3145406","Olaria (MG)","1747"
"MU","3145455","Olhos-d'Água (MG)","6096"
"MU","3145505","Olímpio Noronha (MG)","2787"
"MU","3145604","Oliveira (MG)","41687"
"MU","3145703","Oliveira Fortes (MG)","2133"
"MU","3145802","Onça de Pitangui (MG)","3148"
"MU","3145851","Oratórios (MG)","4655"
"MU","3145877","Orizânia (MG)","8018"
"MU","3145901","Ouro Branco (MG)","39500"
"MU","3146008","Ouro Fino (MG)","33639"
"MU","3146107","Ouro Preto (MG)","74281"
"MU","3146206","Ouro Verde de Minas (MG)","5934"
"MU","3146255","Padre Carvalho (MG)","6378"
"MU","3146305","Padre Paraíso (MG)","20154"
"MU","3146404","Paineiras (MG)","4486"
"MU","3146503","Pains (MG)","8283"
"MU","3146552","Pai Pedro (MG)","6089"
"MU","3146602","Paiva (MG)","1529"
"MU","3146701","Palma (MG)","6616"
"MU","3146750","Palmópolis (MG)","5507"
"MU","3146909","Papagaios (MG)","15674"
"MU","3147006","Paracatu (MG)","93158"
"MU","3147105","Pará de Minas (MG)","93969"
"MU","3147204","Paraguaçu (MG)","21513"
"MU","3147303","Paraisópolis (MG)","21083"
"MU","3147402","Paraopeba (MG)","24540"
"MU","3147501","Passabém (MG)","1649"
"MU","3147600","Passa Quatro (MG)","16344"
"MU","3147709","Passa Tempo (MG)","8084"
"MU","3147808","Passa Vinte (MG)","2039"
"MU","3147907","Passos (MG)","114679"
"MU","3147956","Patis (MG)","5972"
"MU","3148004","Patos de Minas (MG)","152488"
"MU","3148103","Patrocínio (MG)","90757"
"MU","3148202","Patrocínio do Muriaé (MG)","5684"
"MU","3148301","Paula Cândido (MG)","9571"
"MU","3148400","Paulistas (MG)","4830"
"MU","3148509","Pavão (MG)","8450"
"MU","3148608","Peçanha (MG)","17541"
"MU","3148707","Pedra Azul (MG)","24324"
"MU","3148756","Pedra Bonita (MG)","7097"
"MU","3148806","Pedra do Anta (MG)","3052"
"MU","3148905","Pedra do Indaiá (MG)","3972"
"MU","3149002","Pedra Dourada (MG)","2504"
"MU","3149101","Pedralva (MG)","11195"
"MU","3149150","Pedras de Maria da Cruz (MG)","12107"
"MU","3149200","Pedrinópolis (MG)","3635"
"MU","3149309","Pedro Leopoldo (MG)","64258"
"MU","3149408","Pedro Teixeira (MG)","1807"
"MU","3149507","Pequeri (MG)","3320"
"MU","3149606","Pequi (MG)","4406"
"MU","3149705","Perdigão (MG)","11506"
"MU","3149804","Perdizes (MG)","16168"
"MU","3149903","Perdões (MG)","21390"
"MU","3149952","Periquito (MG)","6810"
"MU","3150000","Pescador (MG)","4252"
"MU","3150109","Piau (MG)","2748"
"MU","3150158","Piedade de Caratinga (MG)","8566"
"MU","3150208","Piedade de Ponte Nova (MG)","4140"
"MU","3150307","Piedade do Rio Grande (MG)","4497"
"MU","3150406","Piedade dos Gerais (MG)","4982"
"MU","3150505","Pimenta (MG)","8660"
"MU","3150539","Pingo d'Água (MG)","4941"
"MU","3150570","Pintópolis (MG)","7507"
"MU","3150604","Piracema (MG)","6409"
"MU","3150703","Pirajuba (MG)","6199"
"MU","3150802","Piranga (MG)","17626"
"MU","3150901","Piranguçu (MG)","5472"
"MU","3151008","Piranguinho (MG)","8596"
"MU","3151107","Pirapetinga (MG)","10752"
"MU","3151206","Pirapora (MG)","56428"
"MU","3151305","Piraúba (MG)","10787"
"MU","3151404","Pitangui (MG)","27989"
"MU","3151503","Piumhi (MG)","34691"
"MU","3151602","Planura (MG)","12133"
"MU","3151701","Poço Fundo (MG)","16791"
"MU","3151800","Poços de Caldas (MG)","167397"
"MU","3151909","Pocrane (MG)","8432"
"MU","3152006","Pompéu (MG)","31812"
"MU","3152105","Ponte Nova (MG)","59742"
"MU","3152131","Ponto Chique (MG)","4261"
"MU","3152170","Ponto dos Volantes (MG)","12121"
"MU","3152204","Porteirinha (MG)","37906"
"MU","3152303","Porto Firme (MG)","11279"
"MU","3152402","Poté (MG)","16555"
"MU","3152501","Pouso Alegre (MG)","150737"
"MU","3152600","Pouso Alto (MG)","5940"
"MU","3152709","Prados (MG)","9031"
"MU","3152808","Prata (MG)","27856"
"MU","3152907","Pratápolis (MG)","8603"
"MU","3153004","Pratinha (MG)","3603"
"MU","3153103","Presidente Bernardes (MG)","5369"
"MU","3153202","Presidente Juscelino (MG)","3641"
"MU","3153301","Presidente Kubitschek (MG)","3002"
"MU","3153400","Presidente Olegário (MG)","19573"
"MU","3153509","Alto Jequitibá (MG)","8317"
"MU","3153608","Prudente de Morais (MG)","10733"
"MU","3153707","Quartel Geral (MG)","3563"
"MU","3153806","Queluzito (MG)","1939"
"MU","3153905","Raposos (MG)","16354"
"MU","3154002","Raul Soares (MG)","23762"
"MU","3154101","Recreio (MG)","10517"
"MU","3154150","Reduto (MG)","7154"
"MU","3154200","Resende Costa (MG)","11500"
"MU","3154309","Resplendor (MG)","17397"
"MU","3154408","Ressaquinha (MG)","4808"
"MU","3154457","Riachinho (MG)","8136"
"MU","3154507","Riacho dos Machados (MG)","9481"
"MU","3154606","Ribeirão das Neves (MG)","334858"
"MU","3154705","Ribeirão Vermelho (MG)","4033"
"MU","3154804","Rio Acima (MG)","10312"
"MU","3154903","Rio Casca (MG)","13564"
"MU","3155009","Rio Doce (MG)","2610"
"MU","3155108","Rio do Prado (MG)","5150"
"MU","3155207","Rio Espera (MG)","5474"
"MU","3155306","Rio Manso (MG)","5832"
"MU","3155405","Rio Novo (MG)","8949"
"MU","3155504","Rio Paranaíba (MG)","12313"
"MU","3155603","Rio Pardo de Minas (MG)","30914"
"MU","3155702","Rio Piracicaba (MG)","14339"
"MU","3155801","Rio Pomba (MG)","17910"
"MU","3155900","Rio Preto (MG)","5476"
"MU","3156007","Rio Vermelho (MG)","12846"
"MU","3156106","Ritápolis (MG)","4604"
"MU","3156205","Rochedo de Minas (MG)","2305"
"MU","3156304","Rodeiro (MG)","8109"
"MU","3156403","Romaria (MG)","3533"
"MU","3156452","Rosário da Limeira (MG)","4594"
"MU","3156502","Rubelita (MG)","5995"
"MU","3156601","Rubim (MG)","10241"
"MU","3156700","Sabará (MG)","136344"
"MU","3156809","Sabinópolis (MG)","15470"
"MU","3156908","Sacramento (MG)","26185"
"MU","3157005","Salinas (MG)","41527"
"MU","3157104","Salto da Divisa (MG)","7009"
"MU","3157203","Santa Bárbara (MG)","31324"
"MU","3157252","Santa Bárbara do Leste (MG)","8147"
"MU","3157278","Santa Bárbara do Monte Verde (MG)","3150"
"MU","3157302","Santa Bárbara do Tugúrio (MG)","4430"
"MU","3157336","Santa Cruz de Minas (MG)","8604"
"MU","3157377","Santa Cruz de Salinas (MG)","4142"
"MU","3157401","Santa Cruz do Escalvado (MG)","4758"
"MU","3157500","Santa Efigênia de Minas (MG)","4409"
"MU","3157609","Santa Fé de Minas (MG)","3846"
"MU","3157658","Santa Helena de Minas (MG)","6366"
"MU","3157708","Santa Juliana (MG)","14003"
"MU","3157807","Santa Luzia (MG)","219134"
"MU","3157906","Santa Margarida (MG)","16208"
"MU","3158003","Santa Maria de Itabira (MG)","10847"
"MU","3158102","Santa Maria do Salto (MG)","5232"
"MU","3158201","Santa Maria do Suaçuí (MG)","14615"
"MU","3158300","Santana da Vargem (MG)","7100"
"MU","3158409","Santana de Cataguases (MG)","3872"
"MU","3158508","Santana de Pirapama (MG)","7642"
"MU","3158607","Santana do Deserto (MG)","3976"
"MU","3158706","Santana do Garambéu (MG)","2458"
"MU","3158805","Santana do Jacaré (MG)","4821"
"MU","3158904","Santana do Manhuaçu (MG)","8674"
"MU","3158953","Santana do Paraíso (MG)","34663"
"MU","3159001","Santana do Riacho (MG)","4295"
"MU","3159100","Santana dos Montes (MG)","3777"
"MU","3159209","Santa Rita de Caldas (MG)","8949"
"MU","3159308","Santa Rita de Jacutinga (MG)","4884"
"MU","3159357","Santa Rita de Minas (MG)","7212"
"MU","3159407","Santa Rita de Ibitipoca (MG)","3425"
"MU","3159506","Santa Rita do Itueto (MG)","5489"
"MU","3159605","Santa Rita do Sapucaí (MG)","43260"
"MU","3159704","Santa Rosa da Serra (MG)","3350"
"MU","3159803","Santa Vitória (MG)","19742"
"MU","3159902","Santo Antônio do Amparo (MG)","18525"
"MU","3160009","Santo Antônio do Aventureiro (MG)","3602"
"MU","3160108","Santo Antônio do Grama (MG)","3911"
"MU","3160207","Santo Antônio do Itambé (MG)","3838"
"MU","3160306","Santo Antônio do Jacinto (MG)","11640"
"MU","3160405","Santo Antônio do Monte (MG)","28243"
"MU","3160454","Santo Antônio do Retiro (MG)","7277"
"MU","3160504","Santo Antônio do Rio Abaixo (MG)","1765"
"MU","3160603","Santo Hipólito (MG)","3087"
"MU","3160702","Santos Dumont (MG)","46487"
"MU","3160801","São Bento Abade (MG)","5286"
"MU","3160900","São Brás do Suaçuí (MG)","3738"
"MU","3160959","São Domingos das Dores (MG)","5644"
"MU","3161007","São Domingos do Prata (MG)","17359"
"MU","3161056","São Félix de Minas (MG)","3369"
"MU","3161106","São Francisco (MG)","56323"
"MU","3161205","São Francisco de Paula (MG)","6527"
"MU","3161304","São Francisco de Sales (MG)","6238"
"MU","3161403","São Francisco do Glória (MG)","4844"
"MU","3161502","São Geraldo (MG)","12366"
"MU","3161601","São Geraldo da Piedade (MG)","3962"
"MU","3161650","São Geraldo do Baixio (MG)","4012"
"MU","3161700","São Gonçalo do Abaeté (MG)","8389"
"MU","3161809","São Gonçalo do Pará (MG)","12411"
"MU","3161908","São Gonçalo do Rio Abaixo (MG)","10920"
"MU","3162005","São Gonçalo do Sapucaí (MG)","25449"
"MU","3162104","São Gotardo (MG)","35469"
"MU","3162203","São João Batista do Glória (MG)","7453"
"MU","3162252","São João da Lagoa (MG)","4915"
"MU","3162302","São João da Mata (MG)","2749"
"MU","3162401","São João da Ponte (MG)","25165"
"MU","3162450","São João das Missões (MG)","13014"
"MU","3162500","São João del Rei (MG)","90082"
"MU","3162559","São João do Manhuaçu (MG)","11559"
"MU","3162575","São João do Manteninha (MG)","5859"
"MU","3162609","São João do Oriente (MG)","7498"
"MU","3162658","São João do Pacuí (MG)","4419"
"MU","3162708","São João do Paraíso (MG)","23618"
"MU","3162807","São João Evangelista (MG)","15774"
"MU","3162906","São João Nepomuceno (MG)","26361"
"MU","3162922","São Joaquim de Bicas (MG)","31578"
"MU","3162948","São José da Barra (MG)","7426"
"MU","3162955","São José da Lapa (MG)","23766"
"MU","3163003","São José da Safira (MG)","4268"
"MU","3163102","São José da Varginha (MG)","5004"
"MU","3163201","São José do Alegre (MG)","4196"
"MU","3163300","São José do Divino (MG)","3860"
"MU","3163409","São José do Goiabal (MG)","5420"
"MU","3163508","São José do Jacuri (MG)","6453"
"MU","3163607","São José do Mantimento (MG)","2791"
"MU","3163706","São Lourenço (MG)","45851"
"MU","3163805","São Miguel do Anta (MG)","6938"
"MU","3163904","São Pedro da União (MG)","4659"
"MU","3164001","São Pedro dos Ferros (MG)","7781"
"MU","3164100","São Pedro do Suaçuí (MG)","5246"
"MU","3164209","São Romão (MG)","12337"
"MU","3164308","São Roque de Minas (MG)","7051"
"MU","3164407","São Sebastião da Bela Vista (MG)","5504"
"MU","3164431","São Sebastião da Vargem Alegre (MG)","3007"
"MU","3164472","São Sebastião do Anta (MG)","6555"
"MU","3164506","São Sebastião do Maranhão (MG)","10044"
"MU","3164605","São Sebastião do Oeste (MG)","6775"
"MU","3164704","São Sebastião do Paraíso (MG)","70956"
"MU","3164803","São Sebastião do Rio Preto (MG)","1506"
"MU","3164902","São Sebastião do Rio Verde (MG)","2241"
"MU","3165008","São Tiago (MG)","10941"
"MU","3165107","São Tomás de Aquino (MG)","7021"
"MU","3165206","São Thomé das Letras (MG)","7089"
"MU","3165305","São Vicente de Minas (MG)","7753"
"MU","3165404","Sapucaí-Mirim (MG)","6930"
"MU","3165503","Sardoá (MG)","6300"
"MU","3165537","Sarzedo (MG)","32752"
"MU","3165552","Setubinha (MG)","12258"
"MU","3165560","Sem-Peixe (MG)","2633"
"MU","3165578","Senador Amaral (MG)","5356"
"MU","3165602","Senador Cortes (MG)","2005"
"MU","3165701","Senador Firmino (MG)","7812"
"MU","3165800","Senador José Bento (MG)","1502"
"MU","3165909","Senador Modestino Gonçalves (MG)","4156"
"MU","3166006","Senhora de Oliveira (MG)","5786"
"MU","3166105","Senhora do Porto (MG)","3523"
"MU","3166204","Senhora dos Remédios (MG)","10459"
"MU","3166303","Sericita (MG)","7326"
"MU","3166402","Seritinga (MG)","1851"
"MU","3166501","Serra Azul de Minas (MG)","4293"
"MU","3166600","Serra da Saudade (MG)","781"
"MU","3166709","Serra dos Aimorés (MG)","8699"
"MU","3166808","Serra do Salitre (MG)","11582"
"MU","3166907","Serrania (MG)","7669"
"MU","3166956","Serranópolis de Minas (MG)","4781"
"MU","3167004","Serranos (MG)","1963"
"MU","3167103","Serro (MG)","20966"
"MU","3167202","Sete Lagoas (MG)","239639"
"MU","3167301","Silveirânia (MG)","2261"
"MU","3167400","Silvianópolis (MG)","6238"
"MU","3167509","Simão Pereira (MG)","2615"
"MU","3167608","Simonésia (MG)","19633"
"MU","3167707","Sobrália (MG)","5553"
"MU","3167806","Soledade de Minas (MG)","6151"
"MU","3167905","Tabuleiro (MG)","3750"
"MU","3168002","Taiobeiras (MG)","34132"
"MU","3168051","Taparuba (MG)","3110"
"MU","3168101","Tapira (MG)","4773"
"MU","3168200","Tapiraí (MG)","1875"
"MU","3168309","Taquaraçu de Minas (MG)","4077"
"MU","3168408","Tarumirim (MG)","14326"
"MU","3168507","Teixeiras (MG)","11661"
"MU","3168606","Teófilo Otoni (MG)","140592"
"MU","3168705","Timóteo (MG)","89842"
"MU","3168804","Tiradentes (MG)","7981"
"MU","3168903","Tiros (MG)","6480"
"MU","3169000","Tocantins (MG)","16659"
"MU","3169059","Tocos do Moji (MG)","4101"
"MU","3169109","Toledo (MG)","6258"
"MU","3169208","Tombos (MG)","8022"
"MU","3169307","Três Corações (MG)","79482"
"MU","3169356","Três Marias (MG)","32356"
"MU","3169406","Três Pontas (MG)","56746"
"MU","3169505","Tumiritinga (MG)","6732"
"MU","3169604","Tupaciguara (MG)","25327"
"MU","3169703","Turmalina (MG)","19964"
"MU","3169802","Turvolândia (MG)","5040"
"MU","3169901","Ubá (MG)","115552"
"MU","3170008","Ubaí (MG)","12533"
"MU","3170057","Ubaporanga (MG)","12471"
"MU","3170107","Uberaba (MG)","333783"
"MU","3170206","Uberlândia (MG)","691305"
"MU","3170305","Umburatiba (MG)","2611"
"MU","3170404","Unaí (MG)","84378"
"MU","3170438","União de Minas (MG)","4304"
"MU","3170479","Uruana de Minas (MG)","3264"
"MU","3170503","Urucânia (MG)","10358"
"MU","3170529","Urucuia (MG)","16865"
"MU","3170578","Vargem Alegre (MG)","6480"
"MU","3170602","Vargem Bonita (MG)","2153"
"MU","3170651","Vargem Grande do Rio Pardo (MG)","5007"
"MU","3170701","Varginha (MG)","135558"
"MU","3170750","Varjão de Minas (MG)","7036"
"MU","3170800","Várzea da Palma (MG)","39493"
"MU","3170909","Varzelândia (MG)","19320"
"MU","3171006","Vazante (MG)","20590"
"MU","3171030","Verdelândia (MG)","9355"
"MU","3171071","Veredinha (MG)","5720"
"MU","3171105","Veríssimo (MG)","3999"
"MU","3171154","Vermelho Novo (MG)","4839"
"MU","3171204","Vespasiano (MG)","127601"
"MU","3171303","Viçosa (MG)","78846"
"MU","3171402","Vieiras (MG)","3608"
"MU","3171501","Mathias Lobato (MG)","3203"
"MU","3171600","Virgem da Lapa (MG)","13752"
"MU","3171709","Virgínia (MG)","8674"
"MU","3171808","Virginópolis (MG)","10510"
"MU","3171907","Virgolândia (MG)","5380"
"MU","3172004","Visconde do Rio Branco (MG)","42564"
"MU","3172103","Volta Grande (MG)","5252"
"MU","3172202","Wenceslau Braz (MG)","2552"
"MU","3200102","Afonso Cláudio (ES)","30586"
"MU","3200136","Águia Branca (ES)","9642"
"MU","3200169","Água Doce do Norte (ES)","11019"
"MU","3200201","Alegre (ES)","30084"
"MU","3200300","Alfredo Chaves (ES)","14601"
"MU","3200359","Alto Rio Novo (ES)","7836"
"MU","3200409","Anchieta (ES)","29263"
"MU","3200508","Apiacá (ES)","7567"
"MU","3200607","Aracruz (ES)","101220"
"MU","3200706","Atílio Vivacqua (ES)","11936"
"MU","3200805","Baixo Guandu (ES)","30998"
"MU","3200904","Barra de São Francisco (ES)","44650"
"MU","3201001","Boa Esperança (ES)","15037"
"MU","3201100","Bom Jesus do Norte (ES)","9936"
"MU","3201159","Brejetuba (ES)","12404"
"MU","3201209","Cachoeiro de Itapemirim (ES)","208972"
"MU","3201308","Cariacica (ES)","381285"
"MU","3201407","Castelo (ES)","37534"
"MU","3201506","Colatina (ES)","122499"
"MU","3201605","Conceição da Barra (ES)","31063"
"MU","3201704","Conceição do Castelo (ES)","12723"
"MU","3201803","Divino de São Lourenço (ES)","4304"
"MU","3201902","Domingos Martins (ES)","33850"
"MU","3202009","Dores do Rio Preto (ES)","6749"
"MU","3202108","Ecoporanga (ES)","22923"
"MU","3202207","Fundão (ES)","21509"
"MU","3202256","Governador Lindenberg (ES)","12709"
"MU","3202306","Guaçuí (ES)","30867"
"MU","3202405","Guarapari (ES)","124859"
"MU","3202454","Ibatiba (ES)","26082"
"MU","3202504","Ibiraçu (ES)","12479"
"MU","3202553","Ibitirama (ES)","8889"
"MU","3202603","Iconha (ES)","13860"
"MU","3202652","Irupi (ES)","13377"
"MU","3202702","Itaguaçu (ES)","14066"
"MU","3202801","Itapemirim (ES)","34348"
"MU","3202900","Itarana (ES)","10555"
"MU","3203007","Iúna (ES)","29161"
"MU","3203056","Jaguaré (ES)","30477"
"MU","3203106","Jerônimo Monteiro (ES)","12192"
"MU","3203130","João Neiva (ES)","16668"
"MU","3203163","Laranja da Terra (ES)","10947"
"MU","3203205","Linhares (ES)","173555"
"MU","3203304","Mantenópolis (ES)","15350"
"MU","3203320","Marataízes (ES)","38499"
"MU","3203346","Marechal Floriano (ES)","16694"
"MU","3203353","Marilândia (ES)","12833"
"MU","3203403","Mimoso do Sul (ES)","26153"
"MU","3203502","Montanha (ES)","18833"
"MU","3203601","Mucurici (ES)","5524"
"MU","3203700","Muniz Freire (ES)","17465"
"MU","3203809","Muqui (ES)","15449"
"MU","3203908","Nova Venécia (ES)","50110"
"MU","3204005","Pancas (ES)","23184"
"MU","3204054","Pedro Canário (ES)","26184"
"MU","3204104","Pinheiros (ES)","27047"
"MU","3204203","Piúma (ES)","21711"
"MU","3204252","Ponto Belo (ES)","7863"
"MU","3204302","Presidente Kennedy (ES)","11574"
"MU","3204351","Rio Bananal (ES)","19141"
"MU","3204401","Rio Novo do Sul (ES)","11622"
"MU","3204500","Santa Leopoldina (ES)","12224"
"MU","3204559","Santa Maria de Jetibá (ES)","40431"
"MU","3204609","Santa Teresa (ES)","23590"
"MU","3204658","São Domingos do Norte (ES)","8638"
"MU","3204708","São Gabriel da Palha (ES)","37947"
"MU","3204807","São José do Calçado (ES)","10556"
"MU","3204906","São Mateus (ES)","130611"
"MU","3204955","São Roque do Canaã (ES)","12415"
"MU","3205002","Serra (ES)","517510"
"MU","3205010","Sooretama (ES)","30070"
"MU","3205036","Vargem Alta (ES)","21402"
"MU","3205069","Venda Nova do Imigrante (ES)","25277"
"MU","3205101","Viana (ES)","78239"
"MU","3205150","Vila Pavão (ES)","9208"
"MU","3205176","Vila Valério (ES)","14080"
"MU","3205200","Vila Velha (ES)","493838"
"MU","3205309","Vitória (ES)","362097"
"MU","3300100","Angra dos Reis (RJ)","203785"
"MU","3300159","Aperibé (RJ)","11759"
"MU","3300209","Araruama (RJ)","132400"
"MU","3300225","Areal (RJ)","12572"
"MU","3300233","Armação dos Búzios (RJ)","33870"
"MU","3300258","Arraial do Cabo (RJ)","30349"
"MU","3300308","Barra do Piraí (RJ)","100374"
"MU","3300407","Barra Mansa (RJ)","184412"
"MU","3300456","Belford Roxo (RJ)","510906"
"MU","3300506","Bom Jardim (RJ)","27446"
"MU","3300605","Bom Jesus do Itabapoana (RJ)","37096"
"MU","3300704","Cabo Frio (RJ)","226525"
"MU","3300803","Cachoeiras de Macacu (RJ)","58937"
"MU","3300902","Cambuci (RJ)","15505"
"MU","3300936","Carapebus (RJ)","16301"
"MU","3300951","Comendador Levy Gasparian (RJ)","8561"
"MU","3301009","Campos dos Goytacazes (RJ)","507548"
"MU","3301108","Cantagalo (RJ)","20172"
"MU","3301157","Cardoso Moreira (RJ)","12823"
"MU","3301207","Carmo (RJ)","18895"
"MU","3301306","Casimiro de Abreu (RJ)","44184"
"MU","3301405","Conceição de Macabu (RJ)","23228"
"MU","3301504","Cordeiro (RJ)","21926"
"MU","3301603","Duas Barras (RJ)","11492"
"MU","3301702","Duque de Caxias (RJ)","919596"
"MU","3301801","Engenheiro Paulo de Frontin (RJ)","14002"
"MU","3301850","Guapimirim (RJ)","60517"
"MU","3301876","Iguaba Grande (RJ)","28310"
"MU","3301900","Itaboraí (RJ)","240592"
"MU","3302007","Itaguaí (RJ)","133019"
"MU","3302056","Italva (RJ)","15207"
"MU","3302106","Itaocara (RJ)","23234"
"MU","3302205","Itaperuna (RJ)","103224"
"MU","3302254","Itatiaia (RJ)","31805"
"MU","3302270","Japeri (RJ)","104768"
"MU","3302304","Laje do Muriaé (RJ)","7355"
"MU","3302403","Macaé (RJ)","256672"
"MU","3302452","Macuco (RJ)","5599"
"MU","3302502","Magé (RJ)","245071"
"MU","3302601","Mangaratiba (RJ)","44468"
"MU","3302700","Maricá (RJ)","161207"
"MU","3302809","Mendes (RJ)","18614"
"MU","3302858","Mesquita (RJ)","176103"
"MU","3302908","Miguel Pereira (RJ)","25538"
"MU","3303005","Miracema (RJ)","27174"
"MU","3303104","Natividade (RJ)","15317"
"MU","3303203","Nilópolis (RJ)","162485"
"MU","3303302","Niterói (RJ)","513584"
"MU","3303401","Nova Friburgo (RJ)","190631"
"MU","3303500","Nova Iguaçu (RJ)","821128"
"MU","3303609","Paracambi (RJ)","52257"
"MU","3303708","Paraíba do Sul (RJ)","44285"
"MU","3303807","Paraty (RJ)","43165"
"MU","3303856","Paty do Alferes (RJ)","27769"
"MU","3303906","Petrópolis (RJ)","306191"
"MU","3303955","Pinheiral (RJ)","25156"
"MU","3304003","Piraí (RJ)","29277"
"MU","3304102","Porciúncula (RJ)","18847"
"MU","3304110","Porto Real (RJ)","19683"
"MU","3304128","Quatis (RJ)","14302"
"MU","3304144","Queimados (RJ)","150319"
"MU","3304151","Quissamã (RJ)","24700"
"MU","3304201","Resende (RJ)","131341"
"MU","3304300","Rio Bonito (RJ)","60201"
"MU","3304409","Rio Claro (RJ)","18529"
"MU","3304508","Rio das Flores (RJ)","9284"
"MU","3304524","Rio das Ostras (RJ)","150674"
"MU","3304557","Rio de Janeiro (RJ)","6718903"
"MU","3304607","Santa Maria Madalena (RJ)","10404"
"MU","3304706","Santo Antônio de Pádua (RJ)","42479"
"MU","3304755","São Francisco de Itabapoana (RJ)","42205"
"MU","3304805","São Fidélis (RJ)","38669"
"MU","3304904","São Gonçalo (RJ)","1084839"
"MU","3305000","São João da Barra (RJ)","36102"
"MU","3305109","São João de Meriti (RJ)","472406"
"MU","3305133","São José de Ubá (RJ)","7171"
"MU","3305158","São José do Vale do Rio Preto (RJ)","21795"
"MU","3305208","São Pedro da Aldeia (RJ)","104476"
"MU","3305307","São Sebastião do Alto (RJ)","9357"
"MU","3305406","Sapucaia (RJ)","18228"
"MU","3305505","Saquarema (RJ)","89170"
"MU","3305554","Seropédica (RJ)","82312"
"MU","3305604","Silva Jardim (RJ)","21774"
"MU","3305703","Sumidouro (RJ)","15623"
"MU","3305752","Tanguá (RJ)","34309"
"MU","3305802","Teresópolis (RJ)","182594"
"MU","3305901","Trajano de Moraes (RJ)","10626"
"MU","3306008","Três Rios (RJ)","81804"
"MU","3306107","Valença (RJ)","76523"
"MU","3306156","Varre-Sai (RJ)","11000"
"MU","3306206","Vassouras (RJ)","36896"
"MU","3306305","Volta Redonda (RJ)","273012"
"MU","3500105","Adamantina (SP)","35068"
"MU","3500204","Adolfo (SP)","3562"
"MU","3500303","Aguaí (SP)","36305"
"MU","3500402","Águas da Prata (SP)","8180"
"MU","3500501","Águas de Lindóia (SP)","18705"
"MU","3500550","Águas de Santa Bárbara (SP)","6075"
"MU","3500600","Águas de São Pedro (SP)","3451"
"MU","3500709","Agudos (SP)","37214"
"MU","3500758","Alambari (SP)","6025"
